name,url,extents
ned10m_01,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_01/,"[-117.52237654,47.39078283,-116.25638328,49.26339787]"
ned10m_02,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_02/,"[-116.25638328,47.39078283,-114.99039001,49.26339787]"
ned10m_03,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_03/,"[-117.6806257,45.09617003,-116.40144501,47.39078283]"
ned10m_04,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_04/,"[-116.40144501,45.09617003,-115.12226431,47.39078283]"
ned10m_05,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_05/,"[-115.12226431,45.09617003,-113.84308361,47.39078283]"
ned10m_06,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_06/,"[-113.84308361,45.09617003,-112.56390292,47.39078283]"
ned10m_07,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_07/,"[-117.89162458,43.28949214,-115.9992284,45.09617003]"
ned10m_08,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_08/,"[-115.9992284,43.28949214,-114.10683221,45.09617003]"
ned10m_09,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_09/,"[-114.10683221,43.28949214,-112.21443603,45.09617003]"
ned10m_10,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_10/,"[-112.21443603,43.28949214,-110.32203984,45.09617003]"
ned10m_11,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_11/,"[-117.89162458,41.48281425,-115.9992284,43.28949214]"
ned10m_12,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_12/,"[-115.9992284,41.48281425,-114.10683221,43.28949214]"
ned10m_13,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_13/,"[-114.10683221,41.48281425,-112.21443603,43.28949214]"
ned10m_14,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/elevation/ned/1999_10m_idaho/ned10m_14/,"[-112.21443603,41.48281425,-110.32203984,43.28949214]"
